                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.82057,                0.44671,                0.90681,                0.99458,                 0.9956,                  0.995,                 0.8132,                0.76943,                0.36799,                0.88201,             0.00071504,             0.00071504,             0.00071504
                     92,                0.79599,                0.43567,                0.89073,                0.99307,                 0.9933,                0.99496,                0.82501,                 0.7489,                0.37106,                0.87563,             0.00071064,             0.00071064,             0.00071064
                     93,                0.78399,                0.43432,                0.88277,                0.99499,                0.99112,                0.99479,                0.82581,                0.74974,                0.36622,                0.87608,             0.00070624,             0.00070624,             0.00070624
                     94,                0.79631,                0.47591,                0.88867,                 0.9898,                0.99544,                0.99476,                0.81748,                 0.7566,                0.37079,                0.87737,             0.00070184,             0.00070184,             0.00070184
                     95,                 0.7736,                0.43141,                0.86945,                0.99418,                0.99831,                0.99497,                0.80977,                0.77267,                0.37362,                0.88188,             0.00069744,             0.00069744,             0.00069744
                     96,                0.81328,                0.45078,                0.90071,                0.99566,                0.99622,                0.99499,                0.81564,                0.75394,                0.37126,                 0.8771,             0.00069304,             0.00069304,             0.00069304
                     97,                0.79838,                0.44095,                0.87417,                 0.9957,                0.99934,                0.99496,                0.81954,                0.74943,                0.37119,                 0.8763,             0.00068864,             0.00068864,             0.00068864
                     98,                0.76364,                0.43665,                0.88473,                0.99639,                0.99662,                0.99494,                0.81382,                0.76276,                0.37112,                0.87997,             0.00068424,             0.00068424,             0.00068424
                     99,                  0.781,                0.43929,                0.88573,                0.99521,                0.99823,                0.99499,                0.81885,                0.75198,                0.35911,                0.87567,             0.00067984,             0.00067984,             0.00067984
                    100,                0.78696,                0.44292,                0.86634,                0.99589,                0.99829,                  0.995,                0.82679,                0.73975,                0.35557,                0.86919,             0.00067544,             0.00067544,             0.00067544
                    101,                0.74494,                 0.4062,                0.87703,                 0.9962,                0.99689,                0.99499,                0.82958,                0.71668,                0.34764,                0.86607,             0.00067104,             0.00067104,             0.00067104
                    102,                0.77082,                0.42488,                0.87943,                0.99345,                0.99648,                0.99482,                0.81553,                0.72661,                0.35824,                0.87037,             0.00066664,             0.00066664,             0.00066664
                    103,                0.76147,                0.41739,                0.86936,                 0.9952,                0.99658,                0.99484,                0.81763,                0.75874,                0.35917,                0.87787,             0.00066224,             0.00066224,             0.00066224
                    104,                0.74518,                0.40777,                0.86967,                0.99644,                0.99652,                0.99497,                0.83143,                0.72043,                0.35215,                0.86936,             0.00065785,             0.00065785,             0.00065785
